year_month;channel;units_sold;units_returned;gross_sales;taxes;net_sales;returned_sales_value;realized_net_sales;return_rate;net_sales_per_unit;realized_net_sales_per_unit
2024-05-01;marketplace;3;3;490;102,9;387,1;387,1;0,0;1,0;129,033333333;0,0
2024-05-01;online;139;25;26290;5520,9;20769,1;4068,5;16700,6;0,1798561151079136;149,417985612;120,148201439
2024-05-01;retail;41;8;9500;1995,0;7505,0;1516,8;5988,2;0,1951219512195122;183,048780488;146,053658537
2024-05-01;wholesale;44;1;9500;0,0;9500,0;150,0;9350,0;0,0227272727272727;215,909090909;212,5
2024-06-01;marketplace;98;9;18570;3899,7;14670,3;1287,7;13382,6;0,0918367346938775;149,696938776;136,557142857
2024-06-01;online;1416;259;271720;57061,2;214658,8;41103,7;173555,1;0,182909604519774;151,59519774;122,567161017
2024-06-01;retail;498;64;102860;21600,6;81259,4;12877,0;68382,4;0,1285140562248995;163,171485944;137,314056225
2024-06-01;wholesale;349;8;69000;0,0;69000,0;1630,0;67370,0;0,0229226361031518;197,70773639;193,037249284
2024-07-01;marketplace;109;16;24770;5201,7;19568,3;2678,1;16890,2;0,146788990825688;179,525688073;154,955963303
2024-07-01;online;1394;239;279240;58640,4;220599,6;36371,6;184228,0;0,1714490674318507;158,249354376;132,157819225
2024-07-01;retail;391;60;79970;16793,7;63176,3;9179,8;53996,5;0,1534526854219948;161,576214834;138,098465473
2024-07-01;wholesale;318;12;63530;0,0;63530,0;2870,0;60660,0;0,0377358490566037;199,779874214;190,754716981
2024-08-01;marketplace;118;16;24390;5121,9;19268,1;3160,0;16108,1;0,135593220338983;163,288983051;136,509322034
2024-08-01;online;1349;253;268650;56416,5;212233,5;39302,5;172931,0;0,1875463306152705;157,326538176;128,19199407
2024-08-01;retail;391;54;76650;16096,5;60553,5;7694,6;52858,9;0,1381074168797953;154,868286445;135,189002558
2024-08-01;wholesale;354;18;69420;0,0;69420,0;3940,0;65480,0;0,0508474576271186;196,101694915;184,971751412
2024-09-01;marketplace;108;15;17330;3639,3;13690,7;2038,2;11652,5;0,1388888888888889;126,765740741;107,893518519
2024-09-01;online;1320;239;262080;55036,8;207043,2;39120,8;167922,4;0,181060606060606;156,850909091;127,213939394
2024-09-01;retail;444;62;90930;19095,3;71834,7;10088,3;61746,4;0,1396396396396396;161,789864865;139,068468468
2024-09-01;wholesale;338;7;64300;0,0;64300,0;1260,0;63040,0;0,0207100591715976;190,236686391;186,50887574
2024-10-01;marketplace;127;20;22490;4722,9;17767,1;2891,4;14875,7;0,1574803149606299;139,898425197;117,131496063
2024-10-01;online;1484;291;290310;60965,1;229344,9;46997,1;182347,8;0,1960916442048517;154,545080863;122,875876011
2024-10-01;retail;530;77;97850;20548,5;77301,5;10641,3;66660,2;0,1452830188679245;145,851886792;125,773962264
