year_month;channel;units_sold;units_returned;net_sales_at_sale;returned_sales_value;realized_net_sales;return_rate
2024-05-01;marketplace;3;3;387,1;387,1;0,0;1,0
2024-05-01;online;139;25;20769,1;4068,5;16700,6;0,1798561151079136
2024-05-01;retail;41;8;7505,0;1516,8;5988,2;0,1951219512195122
2024-05-01;wholesale;44;1;9500,0;150,0;9350,0;0,0227272727272727
2024-06-01;marketplace;98;9;14670,3;1287,7;13382,6;0,0918367346938775
2024-06-01;online;1416;259;214658,8;41103,7;173555,1;0,182909604519774
2024-06-01;retail;498;64;81259,4;12877,0;68382,4;0,1285140562248995
2024-06-01;wholesale;349;8;69000,0;1630,0;67370,0;0,0229226361031518
2024-07-01;marketplace;109;16;19568,3;2678,1;16890,2;0,146788990825688
2024-07-01;online;1394;239;220599,6;36371,6;184228,0;0,1714490674318507
2024-07-01;retail;391;60;63176,3;9179,8;53996,5;0,1534526854219948
2024-07-01;wholesale;318;12;63530,0;2870,0;60660,0;0,0377358490566037
2024-08-01;marketplace;118;16;19268,1;3160,0;16108,1;0,135593220338983
2024-08-01;online;1349;253;212233,5;39302,5;172931,0;0,1875463306152705
2024-08-01;retail;391;54;60553,5;7694,6;52858,9;0,1381074168797953
2024-08-01;wholesale;354;18;69420,0;3940,0;65480,0;0,0508474576271186
2024-09-01;marketplace;108;15;13690,7;2038,2;11652,5;0,1388888888888889
2024-09-01;online;1320;239;207043,2;39120,8;167922,4;0,181060606060606
2024-09-01;retail;444;62;71834,7;10088,3;61746,4;0,1396396396396396
2024-09-01;wholesale;338;7;64300,0;1260,0;63040,0;0,0207100591715976
2024-10-01;marketplace;127;20;17767,1;2891,4;14875,7;0,1574803149606299
2024-10-01;online;1484;291;229344,9;46997,1;182347,8;0,1960916442048517
2024-10-01;retail;530;77;77301,5;10641,3;66660,2;0,1452830188679245
2024-10-01;wholesale;390;15;83230,0;3670,0;79560,0;0,0384615384615384
2024-11-01;marketplace;171;30;31181,3;5079,7;26101,6;0,175438596491228
2024-11-01;online;1818;293;287481,0;46436,2;241044,8;0,1611661166116611
2024-11-01;retail;620;81;95210,8;13588,0;81622,8;0,1306451612903225
2024-11-01;wholesale;439;18;88230,0;3150,0;85080,0;0,041002277904328
2024-12-01;marketplace;181;33;28724,4;5135,0;23589,4;0,1823204419889502
2024-12-01;online;1997;342;309656,3;54265,1;255391,2;0,171256885327992
2024-12-01;retail;737;65;112851,5;9638,0;103213,5;0,0881953867028493
2024-12-01;wholesale;517;24;99340,0;5290,0;94050,0;0,04642166344294
2025-01-01;marketplace;96;10;13840,8;1279,8;12561,0;0,1041666666666666
2025-01-01;online;1179;217;186021,3;35320,9;150700,4;0,1840542832909245
2025-01-01;retail;427;49;64227,0;7031,0;57196,0;0,1147540983606557
2025-01-01;wholesale;314;21;61810,0;4480,0;57330,0;0,0668789808917197
2025-02-01;marketplace;98;15;15634,1;2196,2;13437,9;0,1530612244897959
2025-02-01;online;1034;194;168586,0;29941,0;138645,0;0,1876208897485493
