sku;name;category;net_sales;realized_net_sales;product_cogs;shipping_cost;estimated_return_cost;contribution_margin;contribution_margin_pct;units_sold;units_returned;return_rate
SKU-05815;Sienna Leading Accessorie 5815;Accessories;8144,1;6720,6;4419,62;2075,43;414,83;-189,28;-0,028164152;333;59;0,17717717717717718
SKU-01829;SlateBlue Expensive Accessorie 1829;Accessories;7865,7;6383,7;4085,1;1931,28;442,76;-75,44;-0,011817598;317;62;0,19558359621451105
SKU-06130;Navy Positive Accessorie 6130;Accessories;7602;6535,5;4179,07;2047,49;375,96;-67,02;-0,010254762;308;45;0,1461038961038961
SKU-02061;CornflowerBlue Strange Accessorie 2061;Accessories;8353,8;7227,3;4424,59;2398,08;396,56;8,07;0,0011166;336;47;0,13988095238095238
SKU-05413;SlateBlue Consistent Accessorie 5413;Accessories;8103;6804,3;3667,48;2105,94;402,19;628,69;0,092395985;331;54;0,16314199395770393
SKU-05164;BurlyWood Electronic Accessorie 5164;Accessories;12746,5;10740;7010,46;2194,76;405,94;1128,84;0,105106145;311;50;0,16077170418006431
SKU-01563;DimGray Positive Accessorie 1563;Accessories;12125;10692,5;6822,06;1924,41;228;1718,03;0,160676175;295;36;0,12203389830508475
SKU-09596;GoldenRod Gross Accessorie 9596;Accessories;13091,5;10829,5;6398,79;1945;430,48;2055,23;0,189780692;320;57;0,178125
SKU-03880;LavenderBlush Obvious Accessorie 3880;Accessories;8358,9;6840,6;2782,78;2255,54;466,38;1335,9;0,195289887;341;63;0,18475073313782991
SKU-04249;Gray Unusual Accessorie 4249;Accessories;8104,5;6587,7;2633,4;2194,29;444,71;1315,3;0,199659972;330;64;0,19393939393939394
SKU-07051;DarkGreen Financial Top 7051;Tops;20870,4;16665,6;10788,12;2076,05;471,49;3329,94;0,199809188;318;66;0,20754716981132076
SKU-05407;MediumSlateBlue Various Bag 5407;Bags;25946;22628;15119,5;2225,1;350,77;4932,63;0,217987891;317;42;0,13249211356466878
SKU-08987;WhiteSmoke Friendly Swimwear 8987;Swimwear;19214,4;17744;11741,08;1904,28;185,37;3913,27;0,220540464;291;23;0,07903780068728522
SKU-08633;CadetBlue Sick Bottom 8633;Bottoms;16066,8;13968,6;8107,95;2158,78;261,37;3440,5;0,246302421;327;44;0,13455657492354739
SKU-02460;LightYellow Amazing Bag 2460;Bags;24287;19563;12250,53;2014,77;422,97;4874,73;0,249181107;296;59;0,19932432432432431
SKU-04221;MediumSlateBlue Critical Dresse 4221;Dresses;23868;21076,2;13363,65;2090,26;354,78;5267,51;0,249926932;324;39;0,12037037037037036
SKU-01332;Cyan Reasonable Top 1332;Tops;20777,6;17963,2;11084;2046,12;323,71;4509,37;0,25103378;316;44;0,13924050632911392
SKU-01310;Cyan Slow Top 1310;Tops;13612,5;11448;5608,32;2275,92;411,4;3152,36;0,275363382;330;54;0,16363636363636364
SKU-06070;DarkSalmon Adult Outerwear 6070;Outerwear;55516;46858;31377,71;2215,75;341,67;12922,87;0,275787912;341;54;0,15835777126099707
SKU-04667;Fuchsia Pretty Top 4667;Tops;12867,5;11630;6271,28;1942,94;180,81;3234,97;0,278157352;313;30;0,095846645367412137
SKU-07194;IndianRed General Swimwear 7194;Swimwear;22744,8;20246,4;12267,54;2031,82;289,53;5657,51;0,279432887;345;39;0,11304347826086956
SKU-05951;Indigo Late Bottom 5951;Bottoms;34653;29787;19202,88;1923,88;305,37;8354,87;0,280487125;281;40;0,14234875444839859
SKU-02774;Lime Sharp Accessorie 2774;Accessories;24097;20105;12095,16;1952,54;361,06;5696,24;0,283324546;292;50;0,17123287671232876
SKU-06667;WhiteSmoke Silly Dresse 6667;Dresses;41205,6;35442;23164,92;1862,26;326,02;10088,8;0,284656622;281;40;0,14234875444839859
SKU-04888;FireBrick Mad Bottom 4888;Bottoms;28556,4;24429,6;15133,92;1931,72;340,14;7023,82;0,28751269;289;43;0,14878892733564014
SKU-05200;Maroon Sexual Dresse 5200;Dresses;40766,4;35069,4;22921,6;1768,91;269,89;10109;0,288256999;271;39;0,14391143911439114
SKU-02021;Wheat Cultural Bottom 2021;Bottoms;14866,2;12768;6617,45;2083,27;324,32;3742,96;0,293151629;303;44;0,14521452145214522
SKU-06011;Salmon Soft Top 6011;Tops;30913,2;26836,8;16433,21;2115,12;409,02;7879,45;0,293606168;312;43;0,13782051282051283
SKU-01203;Yellow Able Bottom 1203;Bottoms;15706,8;13596;7099,51;2166,1;332,84;3997,55;0,294023978;321;44;0,13707165109034267
SKU-07436;Indigo Every Bottom 7436;Bottoms;38854,5;34201,5;21547,36;2068,53;311,37;10274,24;0,300403199;313;39;0,12460063897763578
SKU-09214;YellowGreen Clear Bag 9214;Bags;65167,5;54292,5;35568,72;2061,73;340,06;16321,99;0,300630658;318;54;0,16981132075471697
SKU-08559;MintCream Small Dresse 8559;Dresses;28873,2;23988;14615,6;1791,53;330,33;7250,54;0,302256962;295;51;0,17288135593220338
SKU-08022;DarkKhaki Wonderful Swimwear 8022;Swimwear;24329;21406;12851,58;1792,97;217,66;6543,79;0,305698869;296;37;0,125
SKU-08404;SlateBlue Friendly Top 8404;Tops;41952;35664;22209,65;2134,74;351,24;10968,37;0,307547387;341;52;0,15249266862170088
SKU-01387;LightCoral Clean Bottom 1387;Bottoms;42322,5;36010,5;22333,92;2169,78;388,99;11117,81;0,308738007;342;53;0,15497076023391812
SKU-05524;Black Wonderful Bottom 5524;Bottoms;30135,6;25819,2;15510,96;2013,9;322,67;7971,67;0,30874969;303;45;0,14851485148514851
SKU-07282;Ivory Significant Swimwear 7282;Swimwear;42268,5;36075;22379,34;2184,27;356,79;11154,6;0,309205821;345;52;0,15072463768115943
SKU-08095;HotPink Deep Swimwear 8095;Swimwear;45081;40312,8;25642,02;1896,38;265,91;12508,49;0,310285815;304;33;0,10855263157894737
SKU-04284;DarkOliveGreen Several Bag 4284;Bags;106628;93188;61679,12;2302,38;236,29;28970,21;0,31087919;326;42;0,12883435582822086
SKU-06583;LightGreen Thick Dresse 6583;Dresses;53231,2;45746,8;29328,78;1781,58;311,47;14324,97;0,313136001;289;42;0,1453287197231834
SKU-09575;Chartreuse Unique Swimwear 9575;Swimwear;35056,5;31557;19275;2006,77;227,85;10047,38;0,318388313;286;29;0,10139860139860139
SKU-04942;Red Leading Swimwear 4942;Swimwear;27973;23923;13724,61;2161,6;405,6;7631,19;0,318989675;340;51;0,15
SKU-04914;Chocolate Curious Dresse 4914;Dresses;34243,5;29385;17791,2;1892,26;324,23;9377,31;0,319118938;281;41;0,14590747330960854
SKU-07824;CornflowerBlue Useful Shoe 7824;Shoes;71204;64125,6;41219,46;2084,21;224,47;20597,46;0,321204948;311;32;0,10289389067524116
SKU-06921;Yellow Dramatic Shoe 6921;Shoes;33753;28657,5;17409,28;1755,56;278,53;9214,13;0,321525953;275;43;0,15636363636363637
SKU-04746;Sienna According Swimwear 4746;Swimwear;45336,6;38293,2;23477,76;2054,65;388,71;12372,08;0,323088172;305;49;0,16065573770491803
SKU-03628;Khaki Opposite Dresse 3628;Dresses;22327,2;20194,2;11281,73;2109,49;243,88;6559,1;0,324801181;301;30;0,099667774086378738
SKU-04105;Cyan Informal Dresse 4105;Dresses;38167,5;32361;19663,28;1859,78;306,12;10531,82;0,325447916;308;49;0,15909090909090909
SKU-01807;DarkKhaki External Dresse 1807;Dresses;31640,4;26445,6;15040,11;2323,77;356,21;8725,51;0,329941843;321;54;0,16822429906542055
SKU-01677;Salmon Flat Shoe 1677;Shoes;72310;61737,2;38935,06;2015,13;298,2;20488,81;0,331871384;316;47;0,14873417721518986
SKU-04642;Lime Brief Top 4642;Tops;13757,5;11772;5144,25;2334,35;382,13;3911,27;0,332251954;335;50;0,14925373134328357
